peopleAhead,activeCounters,serviceType,timeOfDay,dayOfWeek,actualWaitMinutes
10,3,quick,2,1,13.0
21,3,general,21,5,54.6
22,4,general,19,5,44.1
16,2,quick,13,0,35.2
9,3,quick,8,0,7.8
24,2,quick,19,6,37.1
9,1,specialist,12,6,173.8
15,4,general,13,2,38.6
10,3,specialist,9,2,47.8
9,1,specialist,1,3,133.2
15,3,specialist,21,2,71.2
11,1,general,15,5,90.6
9,4,quick,14,6,3.3
26,2,quick,21,1,42.0
6,4,quick,14,6,4.6
12,4,quick,7,3,6.8
28,3,specialist,10,0,207.0
21,4,general,15,3,40.3
29,1,general,14,3,230.1
28,4,quick,12,3,24.9
14,4,general,2,6,25.5
22,3,specialist,20,4,110.2
3,2,general,19,0,11.8
29,4,specialist,4,5,108.3
12,2,general,18,6,59.8
18,3,quick,3,0,18.2
14,4,quick,5,5,9.6
22,4,specialist,17,4,108.0
25,2,specialist,10,4,243.6
9,3,quick,6,3,8.1
28,1,specialist,2,0,482.3
23,4,specialist,1,1,89.2
20,3,general,15,5,50.0
6,4,quick,22,4,3.4
16,4,specialist,14,1,58.1
23,2,specialist,6,1,171.1
10,3,quick,10,1,12.1
16,2,specialist,16,5,157.8
5,4,specialist,21,5,20.1
9,2,general,12,0,53.7
12,4,quick,4,5,11.1
25,4,quick,8,1,19.4
8,4,general,1,3,15.4
27,3,general,1,3,72.0
3,4,specialist,0,2,10.2
14,1,quick,13,1,52.9
23,3,general,19,4,62.8
25,2,general,17,5,125.8
12,4,specialist,23,5,45.5
0,4,general,3,0,0.0
5,2,general,3,3,18.2
6,2,general,7,2,22.6
15,4,quick,13,5,14.5
22,4,general,12,2,50.8
0,3,quick,13,6,0.0
19,3,specialist,22,4,95.4
5,1,quick,4,0,16.4
26,4,specialist,12,4,129.1
19,1,general,7,6,150.4
0,3,quick,19,5,0.0
16,1,quick,20,6,50.3
2,1,general,15,2,15.9
11,4,quick,4,2,5.1
18,2,quick,3,2,27.9
12,1,specialist,12,2,238.2
19,4,specialist,10,2,90.6
22,2,specialist,15,2,167.2
11,3,quick,15,6,15.6
25,3,quick,22,5,25.8
5,4,specialist,10,2,24.0
9,1,specialist,19,5,132.8
6,3,quick,23,6,6.3
25,4,general,3,0,56.1
20,2,quick,20,4,32.3
21,1,general,12,0,252.4
27,3,quick,13,1,35.5
22,1,specialist,8,6,331.5
0,3,general,21,4,0.0
27,2,specialist,13,2,260.9
5,3,quick,13,0,4.1
21,4,specialist,14,4,77.7
16,2,quick,9,6,24.4
9,2,specialist,16,0,101.3
0,4,specialist,5,2,0.0
1,4,general,11,4,2.8
29,3,specialist,3,0,165.9
7,3,specialist,8,4,37.2
26,3,specialist,19,2,128.9
28,4,specialist,17,3,136.4
6,1,quick,3,4,17.8
3,1,specialist,15,6,43.8
3,2,specialist,11,3,27.2
28,3,specialist,20,6,140.9
9,1,quick,4,5,21.9
21,4,general,9,4,38.9
28,3,specialist,20,3,142.3
14,1,general,10,5,145.0
10,3,specialist,17,2,65.1
25,1,specialist,11,5,486.3
17,3,specialist,10,3,110.3
21,4,general,1,4,37.1
13,4,general,22,2,23.0
8,1,quick,18,6,32.2
25,3,general,9,2,67.8
14,3,quick,6,4,14.9
11,2,general,14,2,42.7
18,1,quick,5,4,53.3
18,4,specialist,19,6,68.7
22,4,general,2,4,44.4
24,1,general,13,4,249.6
1,2,quick,14,6,1.9
10,2,general,11,0,57.1
17,1,specialist,7,0,293.1
3,1,specialist,13,5,58.3
14,2,general,22,2,57.9
14,4,quick,18,2,11.2
0,4,general,7,3,1.1
24,1,quick,12,4,93.7
1,2,specialist,17,6,7.9
17,1,quick,11,6,66.7
2,3,quick,22,2,4.4
23,4,specialist,21,4,84.0
22,3,general,0,2,58.3
27,3,quick,17,3,35.2
26,4,quick,0,2,18.4
27,3,specialist,12,5,179.7
2,4,specialist,21,3,5.5
25,1,quick,22,5,74.4
22,2,general,8,0,103.3
10,1,quick,22,5,28.2
20,1,specialist,22,6,305.1
18,4,general,11,1,44.1
6,2,quick,7,2,9.7
24,1,specialist,8,4,362.9
15,4,quick,20,1,10.9
16,4,general,21,4,29.9
17,2,general,1,0,79.9
10,1,general,5,5,79.7
20,3,specialist,1,2,98.2
23,1,specialist,16,3,448.4
3,1,general,2,5,23.9
15,1,specialist,10,1,288.9
24,3,specialist,18,6,156.6
1,1,general,9,2,8.4
28,1,quick,17,1,112.4
9,3,specialist,8,2,48.4
23,4,specialist,19,1,88.7
8,4,quick,3,6,5.2
16,4,general,8,1,31.8
28,2,quick,17,6,56.6
9,1,general,3,1,71.2
8,2,quick,15,6,11.4
4,3,specialist,20,2,24.1
6,4,specialist,23,0,25.9
6,3,specialist,21,3,30.1
4,3,quick,13,1,5.4
22,4,quick,17,3,22.2
22,2,general,6,3,86.4
17,3,specialist,2,1,83.7
27,3,general,18,5,91.6
23,4,quick,14,5,18.2
16,2,quick,2,6,25.1
29,3,quick,5,3,28.0
17,4,quick,21,2,12.4
12,3,quick,9,0,12.7
29,1,specialist,22,5,435.8
23,2,general,22,0,104.3
10,3,specialist,1,3,48.4
15,2,specialist,13,2,148.6
15,4,specialist,7,2,53.7
0,1,specialist,6,0,0.0
2,3,specialist,3,2,10.4
0,3,specialist,12,6,2.4
9,3,quick,8,2,8.8
3,3,general,0,1,4.5
2,4,general,2,4,5.4
15,2,quick,2,3,20.5
17,3,general,23,3,48.1
14,2,specialist,21,5,104.6
14,4,specialist,3,6,51.3
1,1,quick,14,4,2.0
0,1,specialist,19,0,2.7
24,2,specialist,14,3,179.3
28,4,quick,22,6,20.3
26,4,general,5,5,51.6
19,1,specialist,23,5,284.8
4,3,general,20,5,11.7
25,4,general,10,0,76.9
6,1,quick,1,3,19.8
15,4,quick,4,4,7.9
8,4,quick,8,4,3.2
21,2,general,10,3,108.4
5,1,specialist,1,6,76.2
0,1,quick,0,6,0.7
26,3,general,17,2,93.0
5,4,general,22,3,11.6
17,3,specialist,15,1,87.5
6,3,general,16,4,19.9
17,3,general,9,0,51.7
6,2,quick,6,1,12.0
3,1,specialist,21,1,45.6
11,3,specialist,8,2,53.9
19,2,specialist,18,2,183.1
24,2,quick,6,2,34.4
28,2,quick,2,5,37.8
15,2,specialist,0,6,112.3
5,1,specialist,22,1,73.2
23,3,specialist,23,5,114.0
1,4,quick,18,0,1.5
26,1,general,0,2,210.6
28,3,general,20,3,71.7
10,4,general,3,1,19.8
20,4,general,22,6,38.0
13,2,specialist,12,3,124.7
17,2,quick,18,1,33.2
0,4,specialist,21,0,0.0
5,2,specialist,14,4,36.2
12,2,general,22,6,49.3
25,3,quick,14,3,26.8
22,2,quick,4,4,35.1
22,2,specialist,0,6,160.3
28,3,quick,14,2,23.2
22,1,specialist,0,0,380.9
8,3,quick,17,2,11.5
5,4,general,13,3,11.1
27,2,specialist,3,4,201.7
14,3,general,0,1,39.3
27,3,general,14,5,69.3
25,2,general,13,2,129.3
0,2,quick,21,6,1.6
15,1,quick,9,0,50.5
0,4,general,23,5,0.0
1,1,general,23,4,5.1
20,1,general,3,0,182.8
25,4,specialist,15,5,94.4
16,1,quick,23,1,51.3
12,1,specialist,9,3,177.8
19,3,general,3,1,47.7
12,1,quick,10,3,46.3
19,2,general,22,2,72.7
17,1,specialist,13,3,330.6
11,1,general,9,2,88.9
2,4,general,11,0,8.3
20,4,quick,7,3,14.6
3,2,specialist,6,5,23.4
9,1,specialist,0,0,156.0
28,4,specialist,15,1,109.5
25,3,quick,8,5,23.6
25,1,specialist,13,6,487.3
25,1,quick,19,3,74.4
29,4,quick,1,5,26.3
20,2,specialist,1,3,151.4
14,3,specialist,9,0,78.4
13,3,specialist,19,3,61.8
1,4,quick,22,3,0.2
13,1,quick,1,3,41.2
17,2,specialist,12,3,167.8
6,4,specialist,20,2,21.4
20,3,quick,5,3,20.2
2,3,quick,4,2,1.7
4,1,specialist,4,6,60.3
9,4,general,10,5,19.7
22,2,general,2,6,88.7
9,1,quick,13,1,35.4
29,3,specialist,16,0,216.6
1,1,quick,3,1,5.7
3,1,specialist,20,5,43.0
7,2,general,9,1,28.4
24,3,general,18,2,82.7
3,1,specialist,10,3,63.5
7,4,specialist,20,3,25.1
20,2,general,13,5,106.7
29,2,specialist,20,3,213.4
11,1,specialist,5,5,165.1
29,3,specialist,11,1,188.6
23,2,specialist,5,2,172.0
24,1,general,23,5,191.8
19,1,quick,17,3,70.9
19,1,specialist,9,5,285.3
24,2,general,10,6,124.7
6,3,specialist,22,4,32.4
1,1,specialist,14,0,16.8
21,1,quick,18,1,79.3
22,2,general,11,4,117.0
25,2,general,10,1,130.6
17,3,general,3,1,47.4
26,3,general,18,1,88.2
17,4,specialist,20,0,71.0
29,2,general,15,4,115.6
25,2,quick,7,2,36.6
11,3,quick,11,1,14.1
4,3,specialist,11,1,26.8
22,4,quick,23,3,19.4
10,1,quick,4,4,30.9
20,1,specialist,19,4,301.8
2,4,quick,6,3,0.6
5,1,quick,14,3,11.9
20,1,specialist,4,6,299.7
6,3,general,12,0,23.1
9,1,specialist,3,6,134.4
4,2,general,11,3,15.7
1,1,specialist,23,2,15.3
9,3,specialist,1,4,47.7
20,4,quick,9,5,14.9
4,4,general,6,0,10.5
9,3,general,18,5,32.8
15,2,specialist,3,6,114.9
17,1,quick,8,4,50.0
24,3,quick,2,5,26.3
17,1,general,8,6,134.4
4,4,quick,9,3,1.2
23,3,specialist,16,2,146.7
6,2,quick,13,1,13.0
7,4,quick,1,0,2.8
7,3,quick,14,6,7.3
25,4,quick,23,0,17.6
26,3,general,14,4,66.3
16,2,specialist,3,2,114.7
22,2,specialist,17,0,244.8
11,3,general,23,3,29.0
19,1,quick,22,5,53.3
29,3,specialist,4,4,145.2
3,2,general,17,5,17.6
11,1,general,11,6,113.0
1,2,general,3,2,1.3
26,2,general,9,1,103.9
16,4,quick,20,0,12.1
4,1,general,16,0,46.7
5,4,specialist,19,4,15.1
23,2,specialist,0,4,171.8
25,4,general,10,0,74.9
26,2,general,0,6,100.7
19,3,general,15,5,47.2
14,2,general,23,4,55.3
12,1,specialist,18,0,269.3
12,1,general,7,2,94.7
19,4,specialist,12,6,96.3
16,1,specialist,18,4,311.5
1,1,quick,8,0,3.8
19,3,specialist,9,1,95.9
1,3,general,16,2,7.2
20,2,general,4,6,79.0
3,3,specialist,6,0,16.2
18,1,general,17,1,186.6
10,4,specialist,16,5,48.0
23,4,quick,8,6,15.0
18,3,general,2,5,50.5
9,1,general,16,4,91.6
17,2,quick,6,3,27.4
21,4,general,17,3,57.2
17,4,quick,1,6,12.0
18,4,general,8,5,34.8
27,2,quick,17,4,54.4
13,3,general,11,1,46.1
5,1,specialist,22,3,75.8
11,1,quick,11,1,41.7
11,4,specialist,9,5,44.3
3,1,quick,11,1,11.9
27,3,quick,8,6,26.8
12,2,specialist,5,1,85.2
11,2,specialist,18,5,109.2
21,3,general,17,2,73.9
28,3,specialist,9,2,138.9
9,4,quick,12,1,6.5
5,4,quick,23,0,5.9
23,1,general,12,2,241.1
2,3,specialist,3,2,6.4
11,4,specialist,2,6,40.2
13,4,general,7,4,25.2
16,3,general,3,0,51.1
19,1,general,1,0,173.6
22,3,quick,21,6,21.0
11,2,quick,2,3,18.4
20,1,quick,12,0,91.9
9,4,general,11,4,24.3
4,4,general,2,2,6.7
20,3,specialist,10,5,133.9
12,3,specialist,2,6,62.1
8,2,quick,12,1,16.3
6,4,specialist,17,0,31.9
5,3,quick,16,4,5.3
21,4,specialist,5,1,79.4
28,1,general,14,3,227.2
4,3,general,21,1,10.7
20,2,quick,17,5,39.0
15,3,specialist,14,1,77.2
21,4,specialist,22,0,89.9
26,4,specialist,12,0,151.0
6,1,general,22,3,48.9
6,2,quick,12,2,13.9
5,3,specialist,14,4,27.3
18,4,general,14,1,35.2
18,2,general,21,4,69.3
5,1,general,19,2,35.2
20,1,specialist,10,2,386.5
17,3,specialist,3,2,82.9
2,3,quick,0,6,1.7
29,2,quick,18,1,58.2
1,1,general,9,4,11.0
3,4,quick,9,1,1.9
5,3,specialist,20,0,30.8
11,2,general,12,1,58.3
14,2,specialist,7,4,104.4
12,3,general,2,3,32.2
21,2,quick,10,4,41.0
10,1,specialist,5,5,153.5
5,4,general,20,6,11.1
24,2,specialist,13,6,235.4
29,3,general,15,0,89.9
6,2,general,21,4,27.0
5,4,quick,8,4,3.9
8,1,specialist,20,0,136.8
28,2,general,23,4,113.5
9,3,quick,4,1,11.8
8,1,general,13,1,80.9
25,1,specialist,2,5,375.9
25,2,specialist,20,1,189.6
23,3,specialist,4,3,116.1
0,3,general,0,0,1.3
11,4,quick,10,5,9.5
9,4,general,12,0,26.9
14,2,quick,16,2,30.5
14,1,quick,1,2,43.8
10,2,general,2,4,40.0
9,1,specialist,1,6,131.7
14,4,general,0,4,27.4
3,3,specialist,8,6,18.8
2,4,general,0,3,4.9
22,1,specialist,21,3,329.6
23,2,general,4,2,90.2
20,1,quick,12,3,76.3
8,4,general,17,1,21.0
3,1,specialist,21,1,47.1
16,1,quick,21,1,50.9
13,3,quick,18,0,17.3
2,1,specialist,13,2,37.9
18,3,specialist,6,1,89.6
3,4,quick,4,1,2.5
11,3,general,6,5,31.5
4,1,specialist,9,2,58.5
0,1,general,9,0,2.1
14,1,specialist,17,5,272.9
14,1,specialist,23,1,212.9
15,3,general,16,3,49.1
17,3,quick,13,2,20.3
19,2,general,9,1,76.4
5,1,specialist,15,0,85.9
11,4,general,19,4,20.5
4,2,specialist,11,4,38.0
2,1,specialist,17,3,37.3
29,2,specialist,8,1,218.4
2,4,quick,12,6,0.0
28,2,quick,22,0,49.1
17,2,quick,11,6,31.3
9,2,general,13,4,48.8
6,2,quick,1,4,10.8
2,3,quick,5,5,2.0
10,2,specialist,23,4,75.3
16,4,specialist,16,1,76.0
7,4,specialist,17,4,35.8
26,1,specialist,11,5,503.0
14,1,general,7,1,110.7
24,4,general,18,3,59.9
25,4,quick,22,2,21.3
28,2,quick,18,1,57.9
14,1,quick,4,2,40.8
11,4,quick,6,1,6.7
4,2,general,4,0,14.4
0,4,specialist,14,4,0.0
25,2,specialist,17,4,243.9
15,2,general,6,0,74.5
5,2,general,5,5,18.8
8,3,specialist,23,1,37.2
21,2,quick,5,5,31.4
13,3,specialist,6,3,62.9
12,1,quick,7,1,36.2
22,1,general,8,1,174.9
25,3,specialist,12,1,161.6
9,3,specialist,2,5,46.3
19,1,quick,17,6,70.8
29,1,general,2,2,232.9
8,1,quick,17,3,31.2
15,4,specialist,4,4,56.6
28,2,quick,22,1,39.0
27,3,quick,15,5,25.4
5,2,quick,1,6,7.0
2,1,quick,18,1,10.4
25,2,general,20,2,101.6
20,3,specialist,8,5,99.2
11,4,specialist,5,6,43.7
7,3,general,16,6,22.0
13,4,quick,11,1,11.4
8,1,specialist,22,5,116.0
13,2,quick,0,6,21.7
10,4,general,18,3,27.4
4,2,quick,4,4,6.2
28,4,general,20,4,56.4
2,1,specialist,5,0,33.5
12,1,general,0,2,97.0
29,4,general,18,2,72.8
12,3,general,1,5,33.2
7,1,general,23,5,56.3
17,4,specialist,19,3,62.0
29,2,specialist,6,0,248.0
17,4,quick,11,0,19.1
16,4,quick,17,6,15.3
8,4,quick,4,5,7.4
4,2,specialist,6,3,31.2
25,4,quick,15,2,20.8
24,1,specialist,14,0,415.6
10,1,general,16,6,104.1
23,3,specialist,18,4,150.8
13,2,general,17,6,67.8
16,2,general,0,4,62.7
4,4,quick,5,2,8.2
26,3,specialist,9,4,132.5
2,4,specialist,16,6,14.0
10,2,quick,16,4,23.2
26,4,general,8,5,50.5
5,4,general,5,2,11.3
4,1,quick,0,6,13.3
13,1,quick,12,1,49.1
25,2,specialist,21,6,184.9
7,2,general,9,0,31.6
21,3,specialist,15,4,103.2
25,1,specialist,13,1,489.8
9,2,general,2,3,33.1
16,3,quick,10,6,21.1
18,3,quick,3,5,17.1
17,1,general,4,6,134.5
14,4,quick,11,1,16.4
18,2,specialist,22,2,136.9
7,3,quick,23,1,7.6
9,2,quick,17,5,18.3
11,3,quick,8,2,9.7
6,3,specialist,23,3,30.1
14,3,general,20,1,37.6
3,1,specialist,22,4,44.7
18,1,specialist,7,0,314.4
16,1,specialist,0,2,241.7
13,2,quick,1,5,17.0
22,3,general,1,1,59.1
27,2,general,16,6,137.6
5,4,specialist,5,2,17.6
23,4,quick,17,4,22.5
9,1,specialist,2,3,136.9
27,2,quick,17,5,52.6
3,3,general,20,3,6.7
29,2,general,0,0,138.8
7,3,specialist,4,1,36.7
13,3,quick,6,3,12.6
4,4,general,6,5,6.8
9,3,quick,11,6,9.7
6,1,quick,6,6,14.3
25,3,specialist,1,1,119.7
24,2,general,15,4,96.0
6,3,specialist,11,0,43.8
27,3,specialist,3,2,133.0
15,1,general,14,5,120.0
7,3,specialist,5,2,37.5
1,3,general,1,0,5.5
27,2,quick,7,4,40.2
7,4,general,14,5,14.1
29,1,general,10,3,304.4
24,4,general,16,5,61.9
14,3,quick,2,1,12.9
24,2,general,21,3,98.0
21,2,specialist,23,1,155.1
2,3,quick,15,6,0.9
7,4,specialist,4,2,28.9
16,3,specialist,14,3,79.9
0,1,specialist,15,4,2.0
20,2,general,12,4,104.5
24,4,quick,12,0,25.8
16,1,quick,13,1,64.7
10,1,specialist,16,0,221.9
20,3,specialist,21,3,101.6
28,4,general,23,5,54.3
19,1,specialist,11,2,372.6
23,3,quick,21,4,24.0
26,3,general,6,3,70.9
1,1,specialist,7,0,17.5
3,3,general,12,6,14.7
14,4,specialist,14,6,53.9
4,4,general,19,1,9.0
12,1,specialist,12,6,233.6
21,3,quick,4,1,22.4
6,3,general,18,2,25.6
12,2,quick,5,2,19.5
26,4,specialist,7,0,111.1
11,2,general,13,0,65.8
26,1,quick,9,4,74.4
16,4,specialist,17,3,78.6
8,1,specialist,5,4,124.2
22,4,specialist,11,3,104.7
24,4,specialist,15,3,89.1
5,4,quick,17,6,4.8
21,4,quick,1,5,16.3
7,4,general,4,1,13.9
24,4,specialist,10,1,120.0
4,4,general,5,2,9.0
21,2,general,15,5,83.7
6,2,quick,19,2,6.8
17,2,quick,21,3,29.4
22,2,quick,16,5,40.1
11,1,specialist,19,1,168.4
2,2,specialist,16,2,18.0
22,3,quick,16,3,28.7
26,2,specialist,10,5,257.6
20,4,general,16,5,53.3
18,1,quick,2,1,54.8
16,3,specialist,19,2,79.8
6,2,general,11,4,28.4
22,4,general,4,3,43.1
16,2,general,6,6,64.2
11,1,quick,23,2,33.9
24,4,quick,3,3,16.2
1,4,general,6,0,0.0
29,1,quick,10,6,114.1
3,3,quick,10,1,5.4
6,4,quick,1,4,6.6
23,3,specialist,8,5,114.2
18,3,specialist,6,0,105.0
25,4,quick,1,2,19.4
28,1,specialist,16,0,627.8
18,1,general,0,6,140.5
10,4,specialist,17,1,49.3
8,2,general,19,2,27.9
28,2,specialist,16,6,274.3
1,1,general,21,4,7.3
3,4,quick,21,4,2.1
25,1,specialist,4,6,375.1
13,1,quick,6,3,39.9
23,4,specialist,15,5,84.1
18,1,general,7,2,144.5
0,1,specialist,16,2,0.0
13,1,general,12,2,133.4
15,3,quick,16,5,16.5
11,4,quick,13,3,11.0
19,3,general,20,0,59.8
10,2,quick,1,1,13.7
0,2,quick,12,4,1.2
23,1,specialist,17,5,445.4
5,1,quick,23,5,18.6
27,1,specialist,2,1,404.6
3,3,specialist,6,6,13.9
8,2,quick,0,4,9.2
9,1,quick,22,4,29.4
10,3,specialist,5,6,51.9
19,1,quick,10,6,74.1
17,1,specialist,5,6,252.3
1,4,specialist,19,0,3.7
5,3,specialist,10,1,32.7
1,3,general,1,0,2.6
20,3,general,19,4,51.8
29,1,specialist,19,1,437.3
4,4,specialist,0,5,18.9
1,2,general,23,5,6.6
10,1,specialist,13,0,223.4
6,2,general,16,1,32.8
9,4,specialist,10,2,42.6
9,4,quick,9,5,8.1
28,4,specialist,18,0,155.8
19,3,specialist,23,6,96.8
13,2,quick,8,5,23.5
21,1,general,3,0,194.3
6,3,specialist,11,1,37.4
4,4,specialist,14,6,14.7
18,3,general,18,4,65.2
14,2,general,0,1,56.7
23,2,specialist,10,0,258.8
26,1,general,12,1,268.5
18,2,specialist,15,0,156.4
20,2,quick,9,0,36.9
24,3,general,14,6,62.8
22,4,general,22,6,44.7
1,3,general,8,5,1.1
8,2,specialist,4,6,59.0
20,4,specialist,13,3,96.8
21,4,general,3,5,43.5
4,2,quick,7,5,6.5
6,1,specialist,6,1,90.0
27,4,general,0,6,55.2
15,2,general,1,3,60.8
9,1,general,1,6,70.3
27,1,general,4,6,212.8
16,3,quick,22,4,14.6
26,1,quick,9,2,78.1
9,1,quick,16,6,35.6
16,2,specialist,4,5,122.5
4,2,quick,19,0,7.0
22,2,specialist,2,0,188.4
29,2,specialist,1,2,215.8
11,4,specialist,1,1,42.8
14,1,general,20,1,113.7
14,3,specialist,4,1,70.0
19,3,specialist,10,4,126.9
29,2,specialist,9,1,220.7
9,3,general,13,2,31.4
14,2,specialist,13,3,132.6
18,1,quick,16,2,67.4
21,4,quick,6,1,17.4
9,2,general,18,6,43.0
8,4,general,1,1,16.6
20,1,general,2,0,181.5
21,2,quick,8,1,29.1
8,1,specialist,4,0,138.1
13,3,specialist,9,6,63.4
15,1,specialist,11,4,296.7
19,2,general,2,4,75.5
21,1,quick,13,1,82.2
2,4,general,18,3,8.0
16,2,quick,11,6,32.9
10,1,general,20,3,78.7
10,2,quick,20,6,16.6
15,4,specialist,14,5,58.6
27,4,quick,20,3,19.4
12,1,general,3,3,96.2
6,1,specialist,5,1,87.9
25,1,quick,16,4,97.1
21,2,general,1,1,85.6
0,3,specialist,15,3,0.0
12,2,general,23,5,46.7
28,3,quick,7,3,29.5
16,1,specialist,15,2,240.2
26,2,quick,21,0,44.9
29,4,quick,17,6,29.5
19,3,general,14,6,51.2
23,2,specialist,13,5,223.3
24,4,general,19,5,49.6
0,4,quick,1,5,0.0
12,4,quick,7,5,10.7
2,2,general,14,0,12.8
14,3,quick,9,0,17.8
6,1,general,10,0,69.9
22,1,quick,2,6,69.1
8,3,specialist,19,4,38.8
20,3,specialist,22,6,101.7
18,3,general,12,3,61.9
8,3,general,17,6,28.4
14,1,general,7,6,109.9
29,4,general,9,3,57.3
11,3,general,12,3,39.3
29,2,quick,8,5,40.4
16,4,quick,2,3,11.2
8,1,quick,7,4,24.6
21,1,quick,18,6,83.9
25,1,specialist,13,5,487.3
14,2,specialist,15,6,107.2
7,3,quick,22,6,8.4
2,2,specialist,1,2,14.4
20,3,quick,3,5,20.0
0,4,specialist,0,3,3.3
27,1,quick,19,6,81.8
10,4,specialist,18,4,45.7
27,4,general,8,3,55.9
9,4,general,16,6,25.7
16,3,specialist,14,5,80.6
13,1,specialist,7,3,195.2
9,1,quick,6,1,27.9
27,3,specialist,15,4,135.8
19,1,specialist,10,6,370.9
14,4,general,23,3,28.4
11,4,quick,12,4,9.9
25,2,specialist,23,2,185.9
6,2,general,17,2,31.1
6,2,specialist,7,5,46.3
24,4,general,19,1,50.4
12,2,quick,14,5,17.6
20,3,quick,0,3,19.0
18,2,specialist,1,6,129.3
5,2,general,4,3,22.7
22,1,specialist,17,3,433.1
13,2,general,23,2,49.7
10,1,specialist,23,4,149.5
27,1,quick,18,1,107.0
3,4,specialist,23,1,8.1
2,1,general,3,1,16.0
16,1,quick,1,0,55.9
28,1,quick,17,5,108.8
8,4,quick,2,6,5.6
14,4,specialist,17,2,65.2
13,2,specialist,6,1,97.0
18,3,general,22,6,49.0
23,3,quick,19,1,22.5
26,3,general,16,3,90.5
10,1,quick,14,5,31.0
16,4,general,8,1,32.1
15,3,specialist,23,1,76.2
13,3,general,2,5,34.0
13,4,specialist,14,1,45.1
25,3,specialist,6,6,125.5
24,1,general,23,3,191.6
29,3,specialist,10,1,189.3
15,2,general,3,6,62.0
21,4,specialist,12,5,101.3
19,2,general,14,2,71.6
6,4,general,3,1,11.5
16,2,specialist,15,1,118.9
5,1,general,0,6,39.4
0,4,general,12,2,2.6
23,3,general,16,0,91.9
5,4,general,11,4,13.0
18,1,specialist,9,2,268.0
23,1,quick,17,1,86.8
27,4,general,16,0,82.5
17,1,specialist,2,2,255.1
23,2,quick,22,3,35.5
0,2,general,21,5,1.6
26,3,general,14,5,68.5
26,2,specialist,9,4,195.3
28,1,general,12,2,289.4
6,4,specialist,20,1,25.1
29,3,quick,16,4,37.8
20,2,quick,8,5,30.6
3,3,general,13,0,12.2
16,2,general,3,2,64.8
4,3,general,11,3,15.3
28,1,specialist,16,5,546.1
7,4,quick,1,1,7.6
16,1,quick,9,4,48.1
18,1,general,18,6,185.6
28,2,general,21,5,115.7
10,4,quick,0,5,8.7
15,1,general,6,6,120.3
26,1,general,10,2,273.1
8,1,specialist,5,2,120.4
4,2,quick,21,5,5.2
2,4,quick,3,2,0.0
20,1,quick,12,3,81.7
10,2,quick,20,3,13.2
3,1,specialist,7,6,43.9
20,3,specialist,20,3,98.4
23,2,quick,9,6,34.0
20,3,quick,17,0,32.5
18,1,general,2,2,143.4
28,1,general,0,3,222.7
21,1,specialist,17,2,409.9
22,1,quick,22,4,66.7
25,1,quick,20,1,74.3
28,1,quick,5,2,81.2
13,2,quick,13,0,28.2
0,4,general,13,3,2.2
0,3,quick,18,5,0.0
15,3,general,4,5,40.1
23,2,general,12,3,119.0
2,1,specialist,8,6,29.2
0,2,general,12,0,0.4
27,1,general,23,2,214.2
0,3,specialist,23,4,1.0
7,1,general,16,3,73.1
5,1,general,0,0,40.9
21,3,specialist,0,3,105.3
25,4,general,12,6,67.0
19,3,quick,17,5,27.9
25,3,general,2,3,67.3
23,4,general,9,2,44.1
15,3,general,12,1,53.9
14,1,quick,20,2,41.7
9,4,general,6,3,15.7
0,1,general,8,0,0.3
5,1,specialist,8,1,73.7
19,2,general,5,3,76.5
7,4,specialist,23,3,26.5
0,1,general,4,4,0.0
4,3,specialist,23,5,20.5
28,3,quick,0,6,27.8
29,4,specialist,0,1,108.0
0,4,quick,10,2,0.0
16,3,general,8,0,52.3
26,1,general,12,1,268.2
15,3,general,22,4,44.2
18,1,specialist,16,1,350.0
18,4,specialist,4,6,69.8
0,3,specialist,17,4,0.9
13,3,quick,5,0,16.1
24,4,quick,20,6,17.8
4,1,general,15,3,34.5
8,4,quick,12,4,6.1
8,1,specialist,17,3,158.6
26,3,specialist,17,4,174.0
13,1,specialist,13,2,252.9
17,2,quick,22,6,24.4
15,1,specialist,9,0,259.1
4,4,general,1,6,9.0
8,1,quick,21,3,22.2
26,1,specialist,23,1,391.6
8,1,general,12,6,84.8
4,4,quick,6,6,0.9
9,2,specialist,18,4,85.4
12,1,general,14,4,96.0
12,1,specialist,0,4,180.7
6,3,general,22,2,18.9
10,3,quick,6,1,14.2
9,1,general,5,0,81.5
0,3,quick,3,2,0.9
25,1,general,10,2,259.4
13,1,general,0,4,105.0
3,4,quick,22,5,1.1
8,3,specialist,3,5,42.2
27,3,general,12,5,94.8
5,3,quick,4,6,1.7
12,1,specialist,1,4,179.7
28,4,general,7,5,54.8
22,4,specialist,7,5,83.9
10,4,quick,7,5,7.3
20,2,general,1,6,78.8
23,3,general,23,1,61.8
24,2,quick,17,0,56.5
28,2,quick,5,0,47.8
17,1,specialist,21,0,293.0
10,3,quick,15,4,10.3
21,2,general,6,0,95.0
28,2,quick,22,5,41.5
4,4,specialist,0,4,17.2
1,2,quick,12,4,0.8
11,1,specialist,7,3,160.7
0,1,specialist,12,4,0.0
0,4,quick,18,4,3.8
5,2,general,2,3,18.2
0,2,quick,11,6,1.4
6,1,quick,2,1,18.9
0,2,general,18,3,0.0
28,3,quick,1,0,30.9
17,4,quick,10,6,13.9
29,3,specialist,21,4,141.5
24,4,quick,10,4,20.4
20,2,specialist,3,5,146.6
4,3,quick,14,0,0.0
